         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013    5.010    5.010 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1962(module_names)
    30350    0.213    0.000    4.895    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:471(add_resource)
      431    0.007    0.000    4.686    0.011 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:598(reload)
   621574    0.686    0.000    4.655    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:19(fnmatch)
    12094    0.147    0.000    4.264    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:330(to_world_coords)
  2562672    1.960    0.000    4.224    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:410(__repr__)
  2562671    1.924    0.000    3.998    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:142(as_posix)
   233794    0.123    0.000    3.883    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:346(name)
        1    0.000    0.000    3.858    3.858 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\update_manager.py:42(check_for_updates)
        1    0.000    0.000    3.840    3.840 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:330(run)
        1    0.000    0.000    3.839    3.839 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:549(join_executor_internals)
        1    0.000    0.000    3.839    3.839 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:553(_join_executor_internals)
       15    0.000    0.000    3.794    0.253 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:219(_override)
        1    0.000    0.000    3.794    3.794 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1609(_get_override_list)
        1    0.000    0.000    3.794    3.794 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1031(override_list)
        1    0.010    0.010    3.794    3.794 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:225(_load_override)
   335195    0.715    0.000    3.749    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:307(_tail)
    12094    0.056    0.000    3.700    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\renderer\walkmesh.py:370(get_z_coord)
27318/27310    1.238    0.000    3.692    0.000 {built-in method nt.scandir}
    60470    3.640    0.000    3.640    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\bwm\bwm_data.py:641(faceAt)
       23    0.000    0.000    3.464    0.151 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:209(_modules)
        1    0.000    0.000    3.463    3.463 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:213(<lambda>)
  1343428    1.568    0.000    3.396    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:50(normcase)
     7736    0.074    0.000    3.391    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:336(_build_single_resource)
      431    0.012    0.000    3.338    0.008 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:207(resources)
        1    0.042    0.042    3.307    3.307 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:409(load_resources_list)
        1    0.000    0.000    3.162    3.162 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\process.py:74(close)
        1    0.000    0.000    3.162    3.162 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:145(join_thread)
  2291303    1.429    0.000    3.157    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:233(has_magic)
   163473    0.197    0.000    3.131    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:167(suffix)
   273381    1.725    0.000    2.832    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:257(_parse_path)
     5102    0.091    0.000    2.732    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:446(on_mouse_moved)
        1    0.000    0.000    2.692    2.692 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:945(core_resources)
       13    0.000    0.000    2.692    0.207 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:253(_patch_erf)
        1    0.000    0.000    2.680    2.680 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:936(chitin_resources)
    11120    0.230    0.000    2.676    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:902(_poll_result_queue)
 5468/105    1.069    0.000    2.592    0.025 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:327(wait)
    23907    0.093    0.000    2.418    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\settings.py:46(getter)
    11120    0.877    0.000    2.355    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:132(get_nowait)
